#SampleID,Region
SRR5802247,Jiangsu
SRR5802245,Jiangsu
SRR5802263,Jiangsu
SRR5802261,Jiangsu
SRR5802262,Jiangsu
SRR5609956,Jiangsu
SRR5610101,Jiangsu
SRR5802399,Jiangsu
SRR5610098,Jiangsu
SRR5610157,Jiangsu
SRR5610142,Jiangsu
SRR5610041,Jiangsu
SRR5609953,Jiangsu
SRR5802321,Jiangsu
SRR5802318,Jiangsu
SRR5802343,Jiangsu
SRR5802342,Jiangsu
SRR5802345,Jiangsu
SRR5802340,Jiangsu
SRR5802368,Jiangsu
SRR5802366,Jiangsu
SRR5802365,Jiangsu
SRR5802363,Jiangsu
SRR5802371,Jiangsu
SRR5802372,Jiangsu
SRR5802389,Jiangsu
SRR5802391,Jiangsu
SRR5609957,Jiangsu
SRR5802289,Jiangsu
SRR5610000,Jiangsu
SRR5610001,Jiangsu
SRR5610005,Jiangsu
SRR5610006,Jiangsu
SRR5610133,Jiangsu
SRR5610131,Jiangsu
SRR5610137,Jiangsu
SRR5610138,Jiangsu
SRR5610047,Jiangsu
SRR5610044,Jiangsu
SRR5610043,Jiangsu
SRR5610042,Jiangsu
SRR5610081,Jiangsu
SRR5610078,Jiangsu
SRR5610083,Jiangsu
SRR5609976,Jiangsu
SRR5609975,Jiangsu
SRR5802233,Jiangsu
SRR5802189,Jiangsu
SRR5802186,Jiangsu
SRR5802185,Jiangsu
SRR5610004,Jiangsu
SRR5610140,Jiangsu
SRR5610045,Jiangsu
SRR5610049,Jiangsu
SRR5610079,Jiangsu
SRR5610080,Jiangsu
SRR5610082,Jiangsu
SRR5610076,Jiangsu
SRR5610077,Jiangsu
SRR5610084,Jiangsu
SRR5609973,Jiangsu
SRR5802234,Jiangsu
SRR5802235,Jiangsu
SRR5802190,Jiangsu
SRR5802188,Jiangsu
SRR5802187,Jiangsu
SRR5609999,Jiangsu
SRR5610007,Jiangsu
SRR5610132,Jiangsu
SRR5610075,Jiangsu
SRR5609974,Jiangsu
SRR5802232,Jiangsu
SRR3679961,Sichuan
SRR3679980,Sichuan
SRR3679963,Sichuan
SRR3680001,Sichuan
SRR3679966,Sichuan
SRR3680082,Sichuan
SRR3680090,Sichuan
SRR3679978,Sichuan
SRR3679982,Sichuan
SRR3680069,Sichuan
SRR3680070,Sichuan
SRR3680074,Sichuan
SRR3680081,Sichuan
SRR3679959,Sichuan
SRR3679985,Sichuan
SRR3679996,Sichuan
SRR3680073,Sichuan
SRR3680078,Sichuan
SRR3679962,Sichuan
SRR3679964,Sichuan
SRR3679976,Sichuan
SRR3679981,Sichuan
SRR3679995,Sichuan
SRR3679997,Sichuan
SRR3680072,Sichuan
SRR3680088,Sichuan
SRR3679974,Sichuan
SRR3679977,Sichuan
SRR3679999,Sichuan
SRR3680079,Sichuan
SRR3680085,Sichuan
SRR3680089,Sichuan
SRR3679960,Sichuan
SRR3679967,Sichuan
SRR3679979,Sichuan
SRR3679983,Sichuan
SRR3679986,Sichuan
SRR3679993,Sichuan
SRR3680071,Sichuan
SRR3680087,Sichuan
SRR3679970,Sichuan
SRR3679971,Sichuan
SRR3679972,Sichuan
SRR3679973,Sichuan
SRR3679990,Sichuan
SRR3679991,Sichuan
SRR3679994,Sichuan
SRR3680000,Sichuan
SRR3680002,Sichuan
SRR3680003,Sichuan
SRR3680077,Sichuan
SRR3680080,Sichuan
SRR3680083,Sichuan
SRR3680086,Sichuan
SRR3679965,Sichuan
SRR3679968,Sichuan
SRR3679969,Sichuan
SRR3679975,Sichuan
SRR3679984,Sichuan
SRR3679987,Sichuan
SRR3679988,Sichuan
SRR3679989,Sichuan
SRR3679992,Sichuan
SRR3679998,Sichuan
SRR3680075,Sichuan
SRR3680076,Sichuan
SRR3680084,Sichuan
SRR3680026,Sichuan
SRR3680041,Sichuan
SRR3680042,Sichuan
SRR3680045,Sichuan
SRR3680031,Sichuan
SRR3680039,Sichuan
SRR3680053,Sichuan
SRR3680047,Sichuan
SRR3680050,Sichuan
SRR3680057,Sichuan
SRR3680063,Sichuan
SRR3680028,Sichuan
SRR3680040,Sichuan
SRR3680062,Sichuan
SRR3680046,Sichuan
SRR3680060,Sichuan
SRR3680029,Sichuan
SRR3680038,Sichuan
SRR3680027,Sichuan
SRR3680036,Sichuan
SRR3680034,Sichuan
SRR3680035,Sichuan
SRR3680051,Sichuan
SRR3679929,Sichuan
SRR3680043,Sichuan
SRR3680048,Sichuan
SRR3680049,Sichuan
SRR3680058,Sichuan
SRR3680091,Sichuan
SRR3680017,Sichuan
SRR3680054,Sichuan
SRR3680064,Sichuan
SRR3680013,Sichuan
SRR3680033,Sichuan
SRR3680052,Sichuan
SRR3679940,Sichuan
SRR3679950,Sichuan
SRR3680011,Sichuan
SRR3680044,Sichuan
SRR3680032,Sichuan
SRR3680061,Sichuan
SRR3680068,Sichuan
SRR3679931,Sichuan
SRR3679941,Sichuan
SRR3680030,Sichuan
SRR3680059,Sichuan
SRR3680067,Sichuan
SRR3680056,Sichuan
SRR3680066,Sichuan
SRR3680093,Sichuan
SRR3680024,Sichuan
SRR3680037,Sichuan
SRR3680055,Sichuan
SRR3680065,Sichuan
SRR3680007,Sichuan
SRR3680012,Sichuan
SRR3679930,Sichuan
SRR3679945,Sichuan
SRR3680014,Sichuan
SRR3680022,Sichuan
SRR3679934,Sichuan
SRR3679939,Sichuan
SRR3679946,Sichuan
SRR3679936,Sichuan
SRR3680016,Sichuan
SRR3679927,Sichuan
SRR3679942,Sichuan
SRR3680018,Sichuan
SRR3679956,Sichuan
SRR3679943,Sichuan
SRR3680010,Sichuan
SRR3679947,Sichuan
SRR3679955,Sichuan
SRR3680020,Sichuan
SRR3679935,Sichuan
SRR3679952,Sichuan
SRR3679928,Sichuan
SRR3679944,Sichuan
SRR3679951,Sichuan
SRR3679954,Sichuan
SRR3679926,Sichuan
SRR3679932,Sichuan
SRR3679933,Sichuan
SRR3679937,Sichuan
SRR3679938,Sichuan
SRR3679948,Sichuan
SRR3679949,Sichuan
SRR3679953,Sichuan
SRR3679957,Sichuan
SRR3679958,Sichuan
SRR3680004,Sichuan
SRR3680005,Sichuan
SRR3680006,Sichuan
SRR3680008,Sichuan
SRR3680009,Sichuan
SRR3680015,Sichuan
SRR3680019,Sichuan
SRR3680021,Sichuan
SRR3680023,Sichuan
SRR3680025,Sichuan
SRR3680092,Sichuan
TS111.418684,USA
USygt1.F.418592,USA
USygt46.F.418450,USA
USygt51.F.418349,USA
TS195.418848,USA
USygt51.M.418844,USA
USygt1.M.418373,USA
