,PC1,PC2,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
BJN4T1,-0.033905528949924234,0.06326377156563892,BJN,BJN4,BJN,BJN,1.0,BJN4,root:China,False
BJN4T2,-0.15813441425298433,0.0968657060633088,BJN,BJN4,BJN,BJN,2.0,BJN4,root:China,False
BJN4T3,-0.08438967531316358,0.1454032827727164,BJN,BJN4,BJN,BJN,3.0,BJN4,root:China,False
BJN4T4,-0.12773607781623633,0.11261586963108931,BJN,BJN4,BJN,BJN,4.0,BJN4,root:China,False
BJN4T5,0.030724785056143733,0.11504354931291275,BJN,BJN4,BJN,BJN,5.0,BJN4,root:China,False
BJN4T6,-0.0021523644862091735,0.0806474094863221,BJN,BJN4,BJN,BJN,6.0,BJN4,root:China,False
BJN5T1,-0.026146329690925077,0.07845418882153689,BJN,BJN5,BJN,BJN,1.0,BJN5,root:China,False
BJN5T2,-0.06087155158493015,0.1112536931074093,BJN,BJN5,BJN,BJN,2.0,BJN5,root:China,False
BJN5T3,-0.11664723290387895,0.10731843612015965,BJN,BJN5,BJN,BJN,3.0,BJN5,root:China,False
BJN5T4,0.1614148289816948,0.0418692988546298,BJN,BJN5,BJN,BJN,4.0,BJN5,root:China,False
BJN5T5,-0.021078760520220948,0.1183175608123929,BJN,BJN5,BJN,BJN,5.0,BJN5,root:China,False
BJN5T6,0.19562293724782576,0.11786660462499929,BJN,BJN5,BJN,BJN,6.0,BJN5,root:China,False
BJN6T2,-0.12025996227444001,0.07058392643880589,BJN,BJN6,BJN,BJN,2.0,BJN6,root:China,False
BJN6T3,-0.010918176107686405,0.15765766254342858,BJN,BJN6,BJN,BJN,3.0,BJN6,root:China,False
BJN6T4,-0.07835367498405349,0.06872951864714537,BJN,BJN6,BJN,BJN,4.0,BJN6,root:China,False
BJN6T5,-0.1262928195266382,0.08774973513044672,BJN,BJN6,BJN,BJN,5.0,BJN6,root:China,False
BJN6T6,-0.1456731437502267,0.08970489531766147,BJN,BJN6,BJN,BJN,6.0,BJN6,root:China,False
BJN7T1,-0.11372716491594329,-0.058373533228995765,BJN,BJN7,BJN,BJN,1.0,BJN7,root:China,False
BJN7T2,0.20317842791165258,0.007757820457212944,BJN,BJN7,BJN,BJN,2.0,BJN7,root:China,False
BJN7T3,-0.01925001278172792,0.01668643788584547,BJN,BJN7,BJN,BJN,3.0,BJN7,root:China,False
BJN7T4,-0.039659221889158054,0.04807553269527973,BJN,BJN7,BJN,BJN,4.0,BJN7,root:China,False
BJN8T1,-0.07205784761170425,0.06848255126308384,BJN,BJN8,BJN,BJN,1.0,BJN8,root:China,False
BJN8T2,-0.08070802231512657,0.05866858463541994,BJN,BJN8,BJN,BJN,2.0,BJN8,root:China,False
BJN8T3,-0.1391087672182507,0.06502823469356521,BJN,BJN8,BJN,BJN,3.0,BJN8,root:China,False
BJN8T4,-0.13876776489260068,0.0759730749569929,BJN,BJN8,BJN,BJN,4.0,BJN8,root:China,False
BJN8T5,-0.12164740037250016,0.09327733714114968,BJN,BJN8,BJN,BJN,5.0,BJN8,root:China,False
BJN8T6,-0.12448815378747792,0.10862924285653196,BJN,BJN8,BJN,BJN,6.0,BJN8,root:China,False
BJN9T1,-0.026077390915567385,0.1012071042663305,BJN,BJN9,BJN,BJN,1.0,BJN9,root:China,False
BJN9T2,-0.13990439947508093,-0.0880618671704571,BJN,BJN9,BJN,BJN,2.0,BJN9,root:China,False
BJN9T3,-0.09668759611523807,0.09333077486739283,BJN,BJN9,BJN,BJN,3.0,BJN9,root:China,False
BJN9T4,-0.023849803495468152,0.09113335464354448,BJN,BJN9,BJN,BJN,4.0,BJN9,root:China,False
BJN9T5,-0.047872245786511,0.08085910125153269,BJN,BJN9,BJN,BJN,5.0,BJN9,root:China,False
BJN9T6,-0.12340738883825275,0.09506616424403631,BJN,BJN9,BJN,BJN,6.0,BJN9,root:China,False
MTB10T16,-0.14531918029485666,0.08598129721531146,MTB,MT10,MTB,T4,16.0,MT10,root:China:T4,True
MTB10T17,-0.08427013749616362,0.09884265575397093,MTB,MT10,MTB,T4,17.0,MT10,root:China:T4,True
MTB10T18,-0.05507505056377579,0.09723433114591333,MTB,MT10,MTB,T4,18.0,MT10,root:China:T4,True
MTB10T19,-0.0809510643112889,0.06964489185291013,MTB,MT10,MTB,T4,19.0,MT10,root:China:T4,True
MTB10T20,-0.13080580493210955,0.10032728903255606,MTB,MT10,MTB,T5,20.0,MT10,root:China:T5,True
MTB10T21,-0.14040394017018823,0.10073462674798614,MTB,MT10,MTB,T5,21.0,MT10,root:China:T5,True
MTB10T23,-0.05284420813234595,0.08555910611696149,MTB,MT10,MTB,T5,23.0,MT10,root:China:T5,True
MTB10T24,-0.09089311980393046,0.08540390445667381,MTB,MT10,MTB,T6,24.0,MT10,root:China:T6,True
